hash,msg,parents,is_merge,files
a35be6a0fbf09b27b415f8541e46b15d6af2827f,Fixed checkpoints not updating after connecting,['0da9df8659a4b7caa2b2016a0b54e2561d4ff540'],False,"['cinematic-photo.json', 'settings.py']"
553436f22fcab547be0175905838d5ca0480bec7,Added screenshots + video link,['a35be6a0fbf09b27b415f8541e46b15d6af2827f'],False,"['.gitattributes', 'README.md', 'screenshot-1.png', 'screenshot-2.png', 'screenshot-3.png', 'screenshot-installation.png', 'screenshot-style.png']"
5c83da489249b87a7f1b65980b6ec90e9580c60e,pip3 opens a terminal on windows...,['553436f22fcab547be0175905838d5ca0480bec7'],False,['server.py']
67b796b5bf6efbedd1cb467e52fa3f9f36a55110,Readme tweaks,['5c83da489249b87a7f1b65980b6ec90e9580c60e'],False,['README.md']
59caa4c95845a0353e8a9a413cc8fb1014390f15,Fine.,['67b796b5bf6efbedd1cb467e52fa3f9f36a55110'],False,['README.md']
663af57cab10e5a4a2e54cc1d6aca7231264a8d5,Fixed settings when there are no open documents,['59caa4c95845a0353e8a9a413cc8fb1014390f15'],False,['settings.py']
375bc941d94a750908cd99cf591d07c212b5c353,"Support resuming downloads
Also auto-retry if connection is closed by server (not really tested though)",['663af57cab10e5a4a2e54cc1d6aca7231264a8d5'],False,"['network.py', 'test_server.py']"
3b179eef02ee83fe348a8055cda00591af4a4148,Left click on result thumbnails now toggles item selection and preview,['375bc941d94a750908cd99cf591d07c212b5c353'],False,"['document.py', 'model.py', 'widget.py']"
06ab2db0c5d787356cd115b11fb12210b65df5b0,Shift+Return in prompt edit starts generate,['3b179eef02ee83fe348a8055cda00591af4a4148'],False,['widget.py']
78b74b3a06ee535369e8a9530796a589cbe74aae,Fixed some more multiple-of-8 issues,['06ab2db0c5d787356cd115b11fb12210b65df5b0'],False,"['image.py', 'workflow.py', 'test_image.py', 'test_workflow.py']"
2564f7c42380e18675fe1daafe1e17e884581d5a,"Improved inpainting masks, area and upsacling:
* Mask grow and feather now depends on mask size, not image size
* Image is now padded with additional context, instead of using the entire image
* Read only relevant image region from Krita, instead of reading all and crop afterwards
* For larger upscaling factors (>1.5x) use upscaling model
* -> Upscaling model NKMD Superscale now required download
* -> Fixes block artifacts and results in sharper images
* Fixed connection settings not being updated
* Fixed connection error when nodes are missing
* Improved performance of mask -> image conversion",['78b74b3a06ee535369e8a9530796a589cbe74aae'],False,"['README.md', 'client.py', 'comfyworkflow.py', 'document.py', 'image.py', 'server.py', 'settings.py', 'model.py', 'settings.py', 'workflow.py', 'lake_region.png', 'lake_region_mask.png', 'test_image.py', 'test_workflow.py']"
d893235935c2ac61898d2960c5a7b4378c3c88f5,Convert readme for package,['2564f7c42380e18675fe1daafe1e17e884581d5a'],False,"['__init__.py', 'package.py']"
f71d6e28a9901c9a7ce2611ea5b74d069cfbb52d,"Added controlnet scribble (functionality+tests, no UI yet)",['d893235935c2ac61898d2960c5a7b4378c3c88f5'],False,"['__init__.py', 'client.py', 'comfyworkflow.py', 'document.py', 'server.py', 'style.py', 'workflow.py', 'owls_inpaint.png', 'owls_mask.png', 'owls_scribble.png', 'test_workflow.py']"
16fbe57e1cba0377522236e39dd76c9b81cfb023,Add optional downloads for controlnet lora,['f71d6e28a9901c9a7ce2611ea5b74d069cfbb52d'],False,"['server.py', 'server.py']"
74dff93b77522e2ef00c0005467885ed13018fdd,UI for adding control layers,['16fbe57e1cba0377522236e39dd76c9b81cfb023'],False,"['document.py', 'server.py', '__init__.py', 'model.py', 'theme.py', 'widget.py']"
037a15f25f125fef6b07f0405bb31f692ee49c2c,"Added icons for control modes
Better error handling when optional control-net isn't found",['74dff93b77522e2ef00c0005467885ed13018fdd'],False,"['README.md', '__init__.py', 'client.py', 'control-add-dark.svg', 'control-add-light.svg', 'control-lineart-dark.svg', 'control-lineart-light.svg', 'control-scribble-dark.svg', 'control-scribble-light.svg', 'remove-dark.svg', 'remove-light.svg', 'server.py', 'widget.py']"
da24e4bf34925298c23a1e8474667dc2b7c31a7b,Update screenshot + readme,['037a15f25f125fef6b07f0405bb31f692ee49c2c'],False,"['README.md', 'screenshot-4.png']"
2ca3cf7b84a973d83f680780c8d7d34cac921250,"Pass creationflags to windows process to avoid console windows from popping up
Fixed cpu mode not being initialized on restart",['da24e4bf34925298c23a1e8474667dc2b7c31a7b'],False,['server.py']
12f446bf8f849b642f6dfe46e3530981874a962c,More robust way to determine initial settings dialog size,['2ca3cf7b84a973d83f680780c8d7d34cac921250'],False,"['__init__.py', 'settings.py']"
8564c83408f27618a2a69924f61c346c480403a2,"Use Python venv on Linux #2
* venv required on eg. Debian which does not allow installing into system python
* venv also just generally a good idea to avoid conflicts
* better error message if python/pip cannot be found",['12f446bf8f849b642f6dfe46e3530981874a962c'],False,"['__init__.py', 'server.py', 'test_server.py']"
5e3c15080df1bd6bcb5a6f1d36be78cd2e58d501,Improved error for missing clip vision #1,['8564c83408f27618a2a69924f61c346c480403a2'],False,['settings.py']
8e14748df6d2c0ee0255882b715f3dfa2e0ad7be,Added option to override VAE,['5e3c15080df1bd6bcb5a6f1d36be78cd2e58d501'],False,"['client.py', 'comfyworkflow.py', 'style.py', 'settings.py', 'workflow.py']"
0cc0ae521fbfa655bc7cb598cecf5fb70a82c78e,"Invert line art and edge images
  black lines on white background is intuitive
  controlnet expects it the other way round",['8e14748df6d2c0ee0255882b715f3dfa2e0ad7be'],False,"['comfyworkflow.py', 'server.py', 'workflow.py']"
5bdd369e3963a7dca2dd80f8c5931bba7c4ab0ec,"More ControlNet modes
- canny, soft edge, depth, normal, open pose, segmentation",['0cc0ae521fbfa655bc7cb598cecf5fb70a82c78e'],False,"['.gitignore', 'control-canny_edge-dark.png', 'control-canny_edge-light.png', 'control-depth-dark.png', 'control-depth-light.png', 'control-line_art-dark.svg', 'control-line_art-light.svg', 'control-normal-dark.png', 'control-normal-light.png', 'control-pose-dark.svg', 'control-pose-light.svg', 'control-segmentation-dark.svg', 'control-segmentation-light.svg', 'control-soft_edge-dark.png', 'control-soft_edge-light.png', 'server.py', 'theme.py', 'widget.py']"
eb0ec088dabb5f75c74404c4c49261f6ebd21b71,"Check color mode/depth, must be 8-bit RGBA
- otherwise readPixelData code may crash
- might look into automatic conversion in the future",['5bdd369e3963a7dca2dd80f8c5931bba7c4ab0ec'],False,"['document.py', 'model.py']"
222caaf2f20c1dce0379356cfb6389ad395da679,Avoid annoying docker resize when switching control nets,['eb0ec088dabb5f75c74404c4c49261f6ebd21b71'],False,['widget.py']
e379415336a863b90ed2fd431520d0db3a7f5653,"Fixed some locale / encoding issues #5
- start ComfyUI in utf8 mode to to get utf8 output on process pipes
- use default locale for installation process output
- fixed pip hang when it produces gigantic error message (pipe block)",['222caaf2f20c1dce0379356cfb6389ad395da679'],False,['server.py']
50763edd5b49030b369c7d0300e425a1a7b67a08,Add https and wss support,['e379415336a863b90ed2fd431520d0db3a7f5653'],False,"['client.py', 'network.py']"
169cccecd958d77eae61753d73273383bee2f17c,"Merge pull request #6 from gergelyszaz/main

Add https and wss support","['e379415336a863b90ed2fd431520d0db3a7f5653', '50763edd5b49030b369c7d0300e425a1a7b67a08']",True,[]
8e9c68876b4a8700fe3be8186ff8cd8f133ba3b6,"Make control images opaque if they're painted in a transparent layer
- composite on top of white for lines and edges",['169cccecd958d77eae61753d73273383bee2f17c'],False,"['image.py', 'model.py', 'test_image.py']"
fd7350f120b99223d404cb52e86daf8669ef9a72,Workflows for control image preprocessors,['8e9c68876b4a8700fe3be8186ff8cd8f133ba3b6'],False,"['.gitattributes', 'client.py', 'image.py', 'workflow.py', 'adobe_stock.jpg', 'test_create_control_image_canny_edge.png', 'test_create_control_image_depth.png', 'test_create_control_image_line_art.png', 'test_create_control_image_normal.png', 'test_create_control_image_pose.png', 'test_create_control_image_scribble.png', 'test_create_control_image_segmentation.png', 'test_create_control_image_soft_edge.png', 'test_image.py', 'test_workflow.py']"
616732b6881494e279f2d0108e6eef88919430ab,Accept both full controlnet models and extracted lora,['fd7350f120b99223d404cb52e86daf8669ef9a72'],False,"['client.py', 'server.py']"
4396af5d148937884e26c7bc85f0c81e47f36023,UI for control layer generation,['616732b6881494e279f2d0108e6eef88919430ab'],False,"['client.py', 'document.py', 'control-generate-dark.svg', 'control-generate-light.svg', 'server.py', 'model.py', 'widget.py']"
bfa375c134ef3de413e893b2a839bad9e2a768c0,Added setting to pass additional arguments to ComfyUI (json only),['4396af5d148937884e26c7bc85f0c81e47f36023'],False,"['server.py', 'settings.py']"
90c36bc91ab7ee77f99aebb61a2da1ffcd0c2f20,Renamed ControlType -> ControlMode,['bfa375c134ef3de413e893b2a839bad9e2a768c0'],False,"['__init__.py', 'client.py', 'server.py', 'model.py', 'widget.py', 'workflow.py', 'test_workflow.py']"
